value,name,date
15,Cincinnati-I-75N,2016-02
14,Cincinnati-I-75S,2016-02
10,Columbus-OuterbeltS,2016-02
9,Cleveland-I-90E,2016-02
7,Columbus-NorthFwyS,2016-02
6,Akron-I-77N,2016-02
6,Cincinnati-I-275E,2016-02
6,Toledo-I-75N,2016-02
6,Dayton-I-75N,2016-02
6,Cincinnati-I-71N,2016-02
5,Columbus-NorthFwyN,2016-02
5,Columbus-OuterbeltW,2016-02
5,Akron-I-76W,2016-02
5,Covington-I-75S,2016-02
4,Cleveland-I-480E,2016-02
4,Cincinnati-I-71S,2016-02
4,Columbus-OuterbeltN,2016-02
4,Toledo-I-475N,2016-02
4,Cleveland-I-71S,2016-02
4,GroveCity-I-71S,2016-02
30,Cincinnati-I-75N,2016-03
26,Cincinnati-I-75S,2016-03
19,Cleveland-I-90E,2016-03
19,Columbus-OuterbeltS,2016-03
18,Cincinnati-I-71N,2016-03
15,Columbus-NorthFwyS,2016-03
14,Columbus-I-70E,2016-03
14,Dayton-I-75N,2016-03
13,Columbus-NorthFwyN,2016-03
13,Brooklyn-BrooklynQueensExpy,2016-03
12,Toledo-I-75N,2016-03
11,Covington-I-75S,2016-03
11,Akron-I-77N,2016-03
11,Cincinnati-I-71S,2016-03
10,Dayton-I-75S,2016-03
10,BowlingGreen-I-75S,2016-03
10,Louisville-HenryWattersonExpyW,2016-03
10,Cincinnati-I-275E,2016-03
10,LosAngeles-I-10W,2016-03
9,Louisville-DrMartinLutherKingJrExpyN,2016-03
44,Cincinnati-I-75N,2016-04
41,Brooklyn-BrooklynQueensExpy,2016-04
40,Cincinnati-I-75S,2016-04
36,LosAngeles-I-10W,2016-04
29,Cleveland-I-90E,2016-04
29,LosAngeles-I-10E,2016-04
27,Livermore-I-580E,2016-04
27,LosAngeles-I-5N,2016-04
27,Columbus-I-70E,2016-04
27,SanJose-US-101N,2016-04
26,Oakland-I-880N,2016-04
25,Dayton-I-75N,2016-04
24,Columbus-OuterbeltS,2016-04
23,Cincinnati-I-71N,2016-04
23,LosGatos-SantaCruzHwy,2016-04
22,Toledo-I-75N,2016-04
22,LosAngeles-GoldenStateFwyS,2016-04
21,Columbus-NorthFwyS,2016-04
21,Dayton-I-75S,2016-04
20,Bronx-CrossBronxExpyW,2016-04
76,LosAngeles-I-10W,2016-05
68,Brooklyn-BrooklynQueensExpy,2016-05
68,LosAngeles-I-5N,2016-05
60,LosAngeles-SanDiegoFwyS,2016-05
53,Cincinnati-I-75N,2016-05
51,Cincinnati-I-75S,2016-05
51,LosAngeles-I-10E,2016-05
45,LosAngeles-GoldenStateFwyS,2016-05
41,Livermore-I-580E,2016-05
41,Anaheim-RiversideFwyE,2016-05
39,SanJose-US-101N,2016-05
37,LosAngeles-I-110S,2016-05
37,Corona-CA-91W,2016-05
37,LosGatos-SantaCruzHwy,2016-05
36,Oakland-I-880N,2016-05
36,LosAngeles-I-405N,2016-05
35,Bronx-CrossBronxExpyW,2016-05
35,SanDiego-I-8E,2016-05
35,Cleveland-I-90E,2016-05
35,Sacramento-CA-99S,2016-05
104,Brooklyn-BrooklynQueensExpy,2016-06
100,LosAngeles-I-10W,2016-06
89,LosAngeles-I-5N,2016-06
85,LosAngeles-SanDiegoFwyS,2016-06
79,LosAngeles-I-10E,2016-06
68,Livermore-I-580E,2016-06
62,Cincinnati-I-75S,2016-06
59,LosAngeles-GoldenStateFwyS,2016-06
57,Cincinnati-I-75N,2016-06
54,SanJose-US-101N,2016-06
52,Anaheim-RiversideFwyE,2016-06
51,LosAngeles-I-110S,2016-06
49,Corona-CA-91W,2016-06
49,SanFrancisco-I-80W,2016-06
48,Bronx-CrossBronxExpyW,2016-06
48,Oakland-I-880N,2016-06
46,LosGatos-SantaCruzHwy,2016-06
46,Sacramento-CA-99S,2016-06
46,LongBeach-SanDiegoFwyS,2016-06
46,NewYork-FDRDrN,2016-06
121,LosAngeles-I-10W,2016-07
119,Brooklyn-BrooklynQueensExpy,2016-07
113,LosAngeles-I-5N,2016-07
99,LosAngeles-SanDiegoFwyS,2016-07
92,LosAngeles-I-10E,2016-07
86,Miami-I-95N,2016-07
79,Miami-I-95S,2016-07
72,Cincinnati-I-75S,2016-07
72,LosAngeles-GoldenStateFwyS,2016-07
72,Livermore-I-580E,2016-07
70,Houston-I-45N,2016-07
63,SanJose-US-101N,2016-07
63,LosAngeles-I-110S,2016-07
62,Cincinnati-I-75N,2016-07
61,Anaheim-RiversideFwyE,2016-07
60,Chicago-I-94W,2016-07
58,Sacramento-CA-99S,2016-07
55,WestCovina-I-10W,2016-07
55,LosGatos-SantaCruzHwy,2016-07
55,Dallas-I-635W,2016-07
